Num,Id,Request#,EN_1,EN_2,EN_3,EN_4,EN_5,EN_6,EN_7,EN_8,EN_9,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,EN_17,EN_18,EN_19,EN_20,EN_21,EN_22,EN_23,EN_24,EN_25,EN_26,EN_27,EN_28,EN_29,EN_30,EN_31,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17,CH_18,CH_19,CH_20,CH_21,CH_22,CH_23,
87,627674,"I agree, and that is something that I have believed to be the case for a few weeks now, but <name> won't let me make any significant changes that would result as such. So has it been propsed that the material be merged?#","1: I,2: agree,,20: but,21: <name>,22: won't,23: let,24: me,25: make,26: any,27: significant,28: changes,29: that,30: would,31: result,32: as,33: such.,34: So,35: has,36: it,37: been,38: propsed,39: that,40: the,41: material,42: be,43: merged?","1: I,2: agree,",,"2: agree,,34: So",,,,,"22: won't,23: let,24: me,25: make,26: any,27: significant,28: changes,29: that,30: would,31: result,32: as,33: such.","34: So,35: has,36: it,37: been,38: propsed,39: that,40: the,41: material,42: be,43: merged?","34: So,35: has,36: it,37: been,38: propsed,39: that,40: the,41: material,42: be,43: merged?","6: something,7: that,8: I,9: have,10: believed,11: to,12: be,13: the,14: case,15: for,16: a,17: few,18: weeks,19: now,","1: I,2: agree,,34: So,35: has,36: it,37: been,38: propsed,39: that,40: the,41: material,42: be,43: merged?","8: I,9: have,10: believed,34: So,35: has,36: it,37: been",,"2: agree,,10: believed","2: agree,",,,,"20: but,21: <name>,22: won't,23: let,24: me,25: make,26: any,27: significant,28: changes,29: that,30: would,31: result,32: as,33: such.","1: I,2: agree,,9: have,10: believed","1: I,2: agree,,20: but,34: So",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,476597,I'm confused: what did you do? And how did you delete it twice without restoring it in between?#,"1: I'm,2: confused:,3: what,4: did,5: you,6: do?,8: how,9: did,10: you,11: delete,12: it,13: twice,14: without,15: restoring,16: it,17: in,18: between?","1: I'm,2: confused:,3: what,4: did,5: you,6: do?","5: you,6: do?,8: how,9: did,10: you",,,"7: And,8: how,9: did,10: you,11: delete,12: it,13: twice,14: without,15: restoring,16: it,17: in,18: between?","3: what,4: did,5: you,6: do?","1: I'm,2: confused:,3: what,4: did,5: you,6: do?",,"4: did,5: you,6: do?,7: And,8: how,9: did,10: you,11: delete","1: I'm,2: confused:","1: I'm,2: confused:,3: what,4: did,5: you,6: do?",,,6: do?,,,3: what,,,,"3: what,4: did,5: you,6: do?,8: how,9: did,10: you,11: delete,12: it,13: twice,14: without,15: restoring,16: it,17: in,18: between?","2: confused:,3: what,4: did,5: you,6: do?","2: confused:,8: how,9: did,10: you",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,516456,<url>. What do you think should be done?#,"2: What,3: do,4: you,5: think",,"2: What,3: do,4: you,5: think",6: should,,,,,,2: What,,,,,4: you,"2: What,3: do,4: you,5: think,6: should,7: be,8: done?","3: do,4: you,5: think,6: should,7: be,8: done?","2: What,3: do,4: you,5: think,6: should,7: be,8: done?","4: you,6: should,7: be",,,,,"6: should,7: be,8: done?",6: should,,,,"3: do,6: should",,,6: should,,,,"2: What,3: do,6: should",,0,,,,,,,,,,,,,,,,,
90,544688,"This would make a great addition to DYK, you know. (<url> :) It's just under a thousand wordsu2014maybe more of your thesis would like to make it onto WP?#","16: a,17: thousand,18: wordsu2014maybe","1: This,2: would,3: make,4: a,5: great,6: addition,18: wordsu2014maybe,19: more,20: of,21: your,22: thesis,23: would,24: like,25: to,26: make,27: it,28: onto,29: WP?","2: would,3: make,4: a,5: great,9: you,10: know.,14: just,18: wordsu2014maybe","1: This,2: would,3: make,4: a,5: great,6: addition","1: This,2: would,3: make,4: a,5: great,6: addition,7: to,8: DYK,","22: thesis,23: would,24: like,25: to,26: make,27: it,28: onto,29: WP?","5: great,6: addition,7: to,8: DYK,,9: you,10: know.,11: (<url>,12: :),13: It's,14: just,15: under,16: a,17: thousand","5: great,12: :)","5: great,6: addition,18: wordsu2014maybe",,,"9: you,10: know.,12: :)","2: would,12: :)",,,"2: would,18: wordsu2014maybe,23: would",2: would,,,,"8: DYK,,9: you,10: know.,29: WP?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,172545,Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?#,7: Could,,,,,"1: <!--td,2: {border:,3: 1px,4: solid,5: #ccc;}br,6: {mso-data-placement:same-cell;}-->Iulius!,14: u017dirmu016bnai,15: part","7: Could,8: you,9: provide",,,"7: Could,8: you,9: provide","7: Could,8: you,9: provide,10: exact,11: reference,12: of,13: article","6: {mso-data-placement:same-cell;}-->Iulius!,7: Could,8: you,9: provide,10: exact",6: {mso-data-placement:same-cell;}-->Iulius!,7: Could,,,,,,,,"7: Could,8: you",7: Could,,,,,"7: Could,8: you,9: provide",,,,6: {mso-data-placement:same-cell;}-->Iulius!,"1: <!--td,2: {border:,3: 1px,4: solid,5: #ccc;}br,6: {mso-data-placement:same-cell;}-->Iulius!","7: Could,8: you,9: provide,10: exact",0,,,,,,,,,,,,,,,,,,,,
92,71974,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?#,"12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?","12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?","12: Are,13: you,14: saying,15: the,19: are,20: liars?","12: Are,13: you,14: saying,19: are,20: liars?","12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?","12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?","13: you,14: saying,20: liars?","12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?",14: saying,"12: Are,13: you,14: saying,20: liars?",,"12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?","12: Are,13: you,14: saying,15: the,16: promoters,17: and,18: Indycar,19: are,20: liars?",20: liars?,,,,,"1: The,2: race,3: was,4: advertised,5: and,6: billed,7: as,8: the,9: 100th,10: Indy,11: 500.,12: Are,13: you,14: saying,15: the,19: are,20: liars?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,447985,"As a timid Wikipedia end-user who never makes more than a rare grammatical or spelling edit, learning the history to be found on this talk page and Kate's userpage history makes me sad. Why is it that so many communities change the way they do as the size of the project they revolve around increases..?#",33: sad.,,,,,"1: As,2: a,3: timid,4: Wikipedia,5: end-user,31: makes,32: me,33: sad.,34: Why,35: is,36: it,37: that,38: so,39: many,40: communities,41: change,42: the,43: way,44: they,45: do,46: as,47: the,48: size,49: of,50: the,51: project,52: they,53: revolve,54: around,55: increases..?","3: timid,4: Wikipedia,5: end-user,34: Why,35: is,36: it,37: that,38: so,39: many,40: communities","31: makes,32: me,33: sad.,34: Why,35: is,36: it","1: As,2: a,3: timid,4: Wikipedia,5: end-user,6: who,7: never,8: makes,9: more,10: than,11: a,12: rare,13: grammatical,14: or,15: spelling,16: edit,,17: learning,18: the,19: history,20: to,21: be,22: found,23: on,24: this,25: talk,26: page,27: and,28: Kate's,29: userpage,30: history,31: makes,32: me,33: sad.,34: Why,35: is,36: it,37: that,38: so,39: many,40: communities,41: change,42: the,43: way,44: they,45: do,46: as,47: the,48: size,49: of,50: the,51: project,52: they,53: revolve,54: around,55: increases..?","1: As,2: a,3: timid,4: Wikipedia,5: end-user,31: makes,32: me,33: sad.,34: Why,35: is,36: it,37: that,38: so","34: Why,55: increases..?","3: timid,4: Wikipedia,5: end-user,33: sad.,34: Why,35: is,36: it",,"34: Why,35: is,36: it,37: that","3: timid,33: sad.",,,,"34: Why,35: is,36: it,37: that,38: so,39: many,40: communities,41: change,42: the,43: way,44: they,45: do,46: as,47: the,48: size,49: of,50: the,51: project,52: they,53: revolve,54: around,55: increases..?","1: As,2: a,3: timid,4: Wikipedia,5: end-user,6: who,7: never,8: makes,9: more,10: than,11: a,12: rare,13: grammatical,14: or,15: spelling,16: edit,,17: learning,18: the,19: history,20: to,21: be,22: found,23: on,24: this,25: talk,26: page,27: and,28: Kate's,29: userpage,30: history,31: makes,32: me,33: sad.,34: Why,35: is,36: it,37: that,38: so,39: many,40: communities,41: change,42: the,43: way,44: they,45: do,46: as,47: the,48: size,49: of,50: the,51: project,52: they,53: revolve,54: around,55: increases..?",3: timid,,,,,"31: makes,32: me,33: sad.,34: Why,35: is,36: it,37: that,38: so,55: increases..?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,537248,Title says it all.<url> I dont have time to put up a page... but might I suggest <url>?#,"15: might,16: I,17: suggest",,,"1: Title,2: says,3: it,4: all.<url>,5: I,6: dont,7: have,8: time,14: but,15: might,16: I,17: suggest","1: Title,2: says,3: it,4: all.<url>,5: I,6: dont,7: have,8: time","2: says,3: it,4: all.<url>,6: dont,7: have,8: time","5: I,6: dont,7: have,8: time,9: to,10: put,11: up,12: a,13: page...,14: but,15: might,16: I,17: suggest","1: Title,2: says,3: it,4: all.<url>,14: but,15: might,16: I,17: suggest,18: <url>?","2: says,3: it,4: all.<url>,6: dont,7: have,8: time","13: page...,14: but,15: might,16: I,17: suggest,18: <url>?",,,"4: all.<url>,6: dont,7: have,8: time",15: might,,,,"14: but,15: might,16: I,17: suggest,18: <url>?",,"14: but,15: might,16: I,17: suggest,18: <url>?","14: but,15: might,16: I,17: suggest",,"1: Title,2: says,3: it,4: all.<url>,14: but,15: might,16: I,17: suggest",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6478,Thanks. Do you happen to know if the postcard was origianlly published in Japan?#,"1: Thanks.,2: Do,3: you,4: happen,5: to,6: know","1: Thanks.,2: Do,3: you,4: happen,5: to,6: know",1: Thanks.,,,,1: Thanks.,,"1: Thanks.,2: Do,3: you,4: happen,5: to,6: know,7: if,8: the,9: postcard,10: was,11: origianlly,12: published,13: in,14: Japan?","1: Thanks.,2: Do,3: you,4: happen,5: to,6: know",1: Thanks.,"1: Thanks.,4: happen,5: to,6: know",,,,,"4: happen,5: to,6: know","1: Thanks.,2: Do,3: you,4: happen",,"1: Thanks.,2: Do,3: you,4: happen,5: to,6: know",,"2: Do,3: you,4: happen,5: to,6: know",1: Thanks.,,,,"1: Thanks.,2: Do,3: you,4: happen,5: to,6: know",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,13280,"Sorry, but which talk page? I came across the graphic at <url> - is there another?#","1: Sorry,",,,,,"1: Sorry,,3: which,4: talk,5: page?,14: is,15: there,16: another?","1: Sorry,,14: is,15: there,16: another?",,"1: Sorry,",,,"1: Sorry,,2: but,3: which,4: talk,5: page?,6: I,7: came,8: across,9: the,10: graphic,11: at,12: <url>,13: -,14: is,15: there,16: another?","1: Sorry,,2: but,3: which,4: talk,5: page?,6: I,7: came,8: across,9: the,10: graphic,11: at,12: <url>,13: -,14: is,15: there,16: another?","1: Sorry,","1: Sorry,",,,,,,,,"3: which,14: is,15: there","1: Sorry,",,,,,"1: Sorry,,2: but,3: which,4: talk,5: page?,14: is,15: there,16: another?","1: Sorry,,2: but,3: which,4: talk,5: page?,6: I,7: came,8: across,9: the,10: graphic,11: at,12: <url>,13: -,14: is,15: there,16: another?","1: Sorry,",,,,,"1: Sorry,,2: but,3: which,4: talk,5: page?,14: is,15: there,16: another?",0,,,,,,,,,,,,,,,,,,
97,599609,So....what's up with this article? Is it a joke?#,"1: So....what's,2: up,3: with,4: this,5: article?,6: Is,7: it,8: a,9: joke?","1: So....what's,2: up,6: Is,7: it,8: a,9: joke?","1: So....what's,2: up,3: with,4: this,5: article?,6: Is,7: it,8: a,9: joke?","1: So....what's,2: up,9: joke?","1: So....what's,2: up,3: with,4: this,5: article?,6: Is,7: it,8: a,9: joke?","1: So....what's,2: up,3: with,4: this,5: article?,6: Is,7: it,8: a,9: joke?",1: So....what's,"1: So....what's,2: up,9: joke?",,,,,,"1: So....what's,2: up","1: So....what's,6: Is,7: it,8: a,9: joke?",,"1: So....what's,2: up,3: with",,,,"6: Is,7: it,8: a,9: joke?","6: Is,7: it,8: a,9: joke?",,,"6: Is,7: it,8: a,9: joke?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,532224,The content has recently been added to <url>. Would you consider changing your vote to delete?#,"9: Would,10: you,11: consider",,,"9: Would,10: you,11: consider,12: changing","9: Would,10: you,11: consider",,,"9: Would,10: you,11: consider","9: Would,10: you,11: consider",,,"9: Would,10: you,11: consider,12: changing,13: your,14: vote,15: to,16: delete?",9: Would,"9: Would,10: you,11: consider",,,,,,"9: Would,10: you,11: consider",9: Would,,,,,"9: Would,10: you,11: consider",,,,"9: Would,10: you,11: consider",11: consider,,,,"9: Would,10: you,11: consider,12: changing",0,,,,,,,,,,,,,,,,,,,
99,629673,No problem. Have you heard anything new about HRE?#,"1: No,2: problem.",,,,"3: Have,4: you,5: heard,6: anything","1: No,2: problem.",,,,"1: No,2: problem.,3: Have,4: you","1: No,2: problem.",,,,"1: No,2: problem.,3: Have,4: you,5: heard,6: anything,7: new,8: about","1: No,2: problem.","1: No,2: problem.",,,,,,,"1: No,2: problem.,6: anything,7: new","1: No,2: problem.",,,,"1: No,2: problem.,3: Have,4: you,5: heard",,"1: No,2: problem.,3: Have,4: you,5: heard,6: anything,7: new,8: about,9: HRE?","1: No,2: problem.",,,,"1: No,2: problem.,3: Have,4: you,5: heard,6: anything,7: new,8: about",0,,,,,,,,,,,,,,,,,,
100,334732,"Again samething with the second site, again outside of taking they're word for it how do we know they are are right. What is your opinion on the 2 logos in the forum discussion think they were made up?#","23: What,24: is,25: your,26: opinion",,"1: Again,8: outside,9: of,10: taking,11: they're,12: word,13: for,14: it,15: how,16: do,17: we,18: know,19: they,20: are,21: are,22: right.,38: made,39: up?","1: Again,23: What,24: is,25: your,26: opinion","1: Again,7: again",,"1: Again,2: samething,3: with,4: the,5: second,6: site,,7: again,8: outside,9: of,10: taking,11: they're,12: word,13: for,14: it,15: how,16: do,17: we,18: know,19: they,20: are,21: are,22: right.,23: What,24: is,25: your,26: opinion,27: on,28: the,29: 2,30: logos,31: in,32: the,33: forum,34: discussion,35: think,36: they,37: were,38: made,39: up?","1: Again,2: samething,7: again,8: outside,9: of,10: taking,11: they're,12: word,13: for,14: it,15: how,16: do,17: we,18: know,19: they,20: are,21: are,22: right.,23: What,24: is,25: your,35: think,36: they,37: were,38: made,39: up?","25: your,26: opinion","1: Again,7: again,23: What,24: is,25: your,26: opinion",,,"1: Again,7: again","1: Again,7: again,23: What",,,"1: Again,2: samething,3: with,4: the,5: second,6: site,,23: What,24: is,25: your,26: opinion,27: on","1: Again,2: samething,3: with,4: the,5: second,6: site,,7: again,8: outside,9: of,10: taking,11: they're,12: word,13: for,14: it,15: how,16: do,17: we,18: know,19: they,20: are,21: are,22: right.",1: Again,,,,,"1: Again,7: again,23: What,24: is,25: your,26: opinion",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,626770,"Your poorly written, bizarre comment makes no sense, since all of my edits in the Al Franken article conform to wikipedia's NPOV policy. What are you talking about?#","2: poorly,3: written,,4: bizarre,6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","2: poorly,4: bizarre,7: no,8: sense,,10: all,11: of,12: my,13: edits,24: What,25: are,26: you,27: talking,28: about?","2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","2: poorly,3: written,,4: bizarre,6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,,10: all,11: of,12: my,13: edits,14: in,15: the,16: Al,17: Franken,18: article,19: conform,20: to,21: wikipedia's,22: NPOV,23: policy.,24: What,25: are,26: you,27: talking,28: about?","1: Your,2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","5: comment,17: Franken",,"1: Your,2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no","2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,","2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,,24: What,25: are,26: you,27: talking,28: about?","1: Your,2: poorly,3: written,,4: bizarre,7: no,8: sense,","1: Your,2: poorly,3: written,,4: bizarre,5: comment,6: makes,7: no,8: sense,",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,459747,Howdy Resolute. Is <url> for real?#,"5: for,6: real?",,,,,,,,"5: for,6: real?",,"1: Howdy,2: Resolute.","1: Howdy,3: Is,4: <url>,5: for,6: real?",,,"1: Howdy,2: Resolute.",1: Howdy,,,,,,"5: for,6: real?",,,,"2: Resolute.,6: real?",,,6: real?,,,"1: Howdy,2: Resolute.,3: Is,4: <url>,5: for,6: real?",,"1: Howdy,2: Resolute.","1: Howdy,2: Resolute.","1: Howdy,2: Resolute.",0,,,,,,,,,,,,,,,,,,
103,102225,"I just reverted your addition of a fossil range template to <url>, because with only an arrow at the very right it didn't seem to add much useful information. Perhaps we could make a separate template to show only the Cenozoic or so, which would allow us to show more detail in these fossil ranges?#","30: Perhaps,55: ranges?",,,,,,,"13: because,24: seem,30: Perhaps,31: we,42: or,43: so,,47: us","30: Perhaps,31: we,32: could,33: make,34: a,35: separate,36: template","22: it,23: didn't,24: seem,25: to,26: add,27: much,28: useful,29: information.,30: Perhaps","1: I,2: just,3: reverted,4: your,5: addition,22: it,23: didn't,24: seem,25: to,26: add,27: much,28: useful,29: information.,30: Perhaps,31: we,32: could,44: which,45: would,46: allow,47: us,48: to","23: didn't,24: seem,25: to,26: add,27: much,30: Perhaps,44: which,45: would,46: allow,47: us",30: Perhaps,,,,"4: your,41: Cenozoic",,2: just,,,"30: Perhaps,31: we,32: could,33: make,34: a,35: separate,36: template,37: to,38: show,39: only,40: the,41: Cenozoic,42: or,43: so,,44: which,45: would,46: allow,47: us,48: to,49: show,50: more,51: detail,52: in,53: these,54: fossil,55: ranges?","30: Perhaps,44: which,45: would,46: allow,47: us,48: to,49: show,50: more,51: detail,52: in,53: these,54: fossil,55: ranges?","30: Perhaps,32: could",30: Perhaps,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,399040,That's making the fundamental assertion that the second source is reliable. Can you prove that it is?#,12: Can,,,,,,,,,"12: Can,13: you,14: prove,16: it","4: fundamental,5: assertion,12: Can,13: you,14: prove,15: that,16: it,17: is?","4: fundamental,5: assertion,12: Can,13: you,14: prove,15: that,16: it,17: is?","4: fundamental,5: assertion,12: Can,13: you,14: prove,15: that,16: it,17: is?","12: Can,13: you,14: prove,15: that,16: it,17: is?",,"12: Can,13: you,14: prove,15: that,16: it,17: is?","4: fundamental,8: second",,"12: Can,13: you",,"12: Can,13: you,14: prove,15: that,16: it,17: is?",,"12: Can,13: you,14: prove,15: that,16: it,17: is?","12: Can,14: prove","12: Can,13: you,14: prove,15: that,16: it,17: is?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,620486,? What?#,,,,1: ?,,,,,,,,,1: ?,,,2: What?,"1: ?,2: What?",,,,,"1: ?,2: What?",1: ?,,,,,,1: ?,,,,,2: What?,,,,2: What?,,,"1: ?,2: What?",,,,,1: ?,,,2: What?,,1: ?,,0,,
106,71828,"There seems to have been something wrong with the pages you made on the V8 Supercar Championship Series - a glitch with the ""align"" tags in the beginning infobox made the text grotesquely overflow the margins. I've trimmed these down; mind checking my work?#","41: mind,42: checking,43: my,44: work?",,,,,,"2: seems,20: a,21: glitch,33: grotesquely,41: mind,42: checking,43: my,44: work?","33: grotesquely,34: overflow,35: the,36: margins.,41: mind,42: checking","2: seems,41: mind,42: checking,43: my,44: work?",,"1: There,2: seems,3: to,4: have,5: been,6: something,7: wrong,11: you,12: made,33: grotesquely,34: overflow,37: I've,38: trimmed,39: these,40: down;,41: mind,42: checking,43: my,44: work?","33: grotesquely,41: mind,42: checking,43: my,44: work?","41: mind,42: checking,43: my,44: work?",,"16: Supercar,17: Championship",41: mind,,,"37: I've,38: trimmed,39: these,40: down;,41: mind,42: checking,43: my,44: work?","41: mind,42: checking,43: my,44: work?","41: mind,42: checking,43: my,44: work?","41: mind,42: checking,43: my,44: work?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,475979,"Some links look notable, others do not, <url>. Thoughts?#",9: Thoughts?,,,,,,,,9: Thoughts?,,9: Thoughts?,9: Thoughts?,,,,,"8: <url>.,9: Thoughts?",9: Thoughts?,,,,,9: Thoughts?,,,,"5: others,9: Thoughts?",,9: Thoughts?,,9: Thoughts?,,,,,9: Thoughts?,,"7: not,,9: Thoughts?",9: Thoughts?,0,,,,,,,,,,,,,,,
108,532687,You might be just the person I need- <url> has just been repeatedly vandalised and with ? German - in there - wonder what you would do with the vandal?#,"2: might,3: be,4: just,5: the,6: person,7: I,8: need-",,,,"1: You,2: might,3: be,4: just,5: the,6: person,7: I,8: need-","1: You,2: might,3: be,4: just,5: the,6: person,7: I,8: need-,24: what,25: you,26: would,27: do","1: You,2: might,3: be,4: just,5: the,6: person,7: I,8: need-,23: wonder,24: what,25: you,26: would,27: do","1: You,2: might,3: be,4: just,5: the,6: person,7: I,8: need-,23: wonder,24: what,25: you,26: would,27: do","1: You,2: might,3: be,4: just,5: the,6: person,7: I,8: need-,23: wonder,24: what,25: you,26: would,27: do","24: what,25: you,26: would,27: do",,"13: repeatedly,14: vandalised",,2: might,,,"18: German,24: what,25: you,26: would,27: do,28: with,29: the,30: vandal?","23: wonder,24: what,25: you,26: would,27: do,28: with,29: the,30: vandal?","18: German,20: in,21: there,23: wonder,26: would",23: wonder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,500692,"Hello, I know that the article <url> isn't exactly football related, but can you help out on <url>? and tell me if the article is ready for a GA nominee?#","9: exactly,13: can,14: you,15: help,16: out",,,,,"1: Hello,,13: can,14: you,15: help,16: out","13: can,14: you,15: help,16: out,20: tell,21: me,22: if,23: the,24: article,25: is,26: ready","13: can,14: you,15: help,20: tell,21: me",,,"1: Hello,,12: but,13: can,14: you,15: help,16: out,17: on,19: and,20: tell,21: me,22: if,23: the,24: article,25: is,26: ready","1: Hello,,13: can,14: you,15: help,16: out,19: and,20: tell,21: me","13: can,14: you,15: help,16: out,17: on",,"6: article,10: football",,"1: Hello,",,,"12: but,13: can,14: you,15: help,16: out,17: on,18: <url>?","2: I,3: know,4: that,5: the,6: article,7: <url>,8: isn't,9: exactly,10: football,11: related,","1: Hello,",,12: but,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,303013,Based on what? Don't you think a little discussion is in order before doing this?#,"1: Based,2: on,3: what?",,,,,,,"1: Based,2: on,3: what?,4: Don't,5: you,6: think","1: Based,2: on,3: what?,4: Don't,5: you,6: think,8: little,9: discussion,10: is,11: in,12: order","3: what?,4: Don't,5: you,6: think,7: a,8: little",,"1: Based,2: on,3: what?,4: Don't,5: you,6: think,7: a,8: little,9: discussion,10: is,11: in,12: order,13: before,14: doing,15: this?","1: Based,2: on,3: what?,4: Don't,5: you,6: think",,"1: Based,2: on,3: what?,4: Don't,5: you,6: think","1: Based,9: discussion,14: doing","1: Based,2: on,3: what?","4: Don't,5: you,6: think,7: a,8: little,9: discussion,10: is,11: in,12: order,13: before,14: doing,15: this?","1: Based,2: on,3: what?,4: Don't,5: you,6: think,7: a,8: little,9: discussion,10: is,11: in,12: order,13: before,14: doing,15: this?","1: Based,2: on,3: what?,4: Don't","4: Don't,5: you,6: think,7: a,8: little,9: discussion,10: is,11: in,12: order,13: before,14: doing,15: this?",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,300945,I tried to fix your problem with <url>. Is that what you were looking for?#,"1: I,2: tried,3: to,4: fix,5: your,6: problem,9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?","9: Is,10: that,11: what","1: I,2: tried,3: to,4: fix,5: your,6: problem,9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?","2: tried,3: to,4: fix",,"9: Is,10: that","1: I,2: tried,9: Is,10: that,11: what,12: you","6: problem,7: with,8: <url>.,9: Is,10: that","1: I,2: tried,5: your,6: problem,9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?","9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?",4: fix,,"9: Is,10: that,11: what",,"1: I,2: tried,3: to,4: fix,5: your,6: problem,7: with,8: <url>.,9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?","9: Is,10: that,11: what,12: you,13: were,14: looking,15: for?",6: problem,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,475912,I was really unsure on what to do with <url> so I made it into a dab. That ok?#,"18: That,19: ok?",,,,,"4: unsure,13: made,18: That,19: ok?","18: That,19: ok?",,"3: really,4: unsure,18: That,19: ok?","18: That,19: ok?","18: That,19: ok?",,"18: That,19: ok?",,,,"18: That,19: ok?",,,,,"2: was,3: really,4: unsure,5: on,6: what,7: to,8: do,9: with","18: That,19: ok?","18: That,19: ok?",,,"18: That,19: ok?",,,,,"18: That,19: ok?",,,10: <url>,,0,,,,,,,,,,,,,,,,,,
113,520796,What do you think? Perhaps the coat of arms field can contain the picture that the article's family name infobox already has?#,"1: What,2: do,3: you,4: think?,5: Perhaps,22: has?",,"1: What,2: do,3: you,4: think?,5: Perhaps","1: What,2: do,3: you,4: think?,5: Perhaps","1: What,2: do,3: you,4: think?","1: What,2: do,3: you,4: think?,22: has?","1: What,2: do,3: you,4: think?,5: Perhaps","1: What,2: do,3: you,4: think?",,,"1: What,2: do,3: you,4: think?,5: Perhaps",,"1: What,2: do,3: you,4: think?",,,"7: coat,8: of,9: arms","1: What,2: do,3: you,4: think?,5: Perhaps","1: What,2: do,3: you,4: think?,5: Perhaps",,"1: What,2: do,3: you,4: think?,5: Perhaps",9: arms,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,343273,"I consider <url> to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?#","15: God,,16: what,17: is,18: happening,19: with,20: The,21: Beatles,22: coverage,23: on,24: Wikipedia?","7: single,8: most,9: important,15: God,,16: what,17: is,18: happening","1: I,2: consider,7: single,8: most,9: important,10: edit,11: I,12: have,13: ever,14: made.,15: God,,16: what,17: is,18: happening","15: God,,16: what,17: is,18: happening","7: single,8: most,9: important,13: ever,15: God,","1: I,2: consider,3: <url>,4: to,5: be,6: the,7: single,8: most,9: important,10: edit,11: I,12: have,13: ever,14: made.,15: God,","1: I,2: consider,3: <url>,4: to,5: be,6: the,7: single,8: most,9: important,10: edit,11: I,12: have,13: ever,14: made.,15: God,,16: what","1: I,2: consider",,,,,"19: with,20: The,21: Beatles,22: coverage","15: God,,16: what,17: is,18: happening","2: consider,15: God,,16: what,17: is,18: happening","15: God,,16: what,17: is,18: happening,19: with,20: The,21: Beatles,22: coverage,23: on,24: Wikipedia?","15: God,,16: what,17: is,18: happening,19: with,20: The,21: Beatles,22: coverage,23: on,24: Wikipedia?",18: happening,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
